,BOROUGH,VEHICLETYPECODE1,VCOUNT,BID
0,BRONX,Ambulance,347,0
1,BRONX,Bicycle,20,0
2,BRONX,Bus,1253,0
3,BRONX,Fire Truck,86,0
4,BRONX,Large com veh,974,0
5,BRONX,Livery Vehicle,1490,0
6,BRONX,Motorcycle,233,0
7,BRONX,Other,2296,0
8,BRONX,Passenger Vehicle,37429,0
9,BRONX,Pedicab,1,0
10,BRONX,Pick-up Truck,674,0
11,BRONX,Scooter,10,0
12,BRONX,Small Com Veh,981,0
13,BRONX,Sport car / Station Wagon,13155,0
14,BRONX,Taxi,1094,0
15,BRONX,Unknown,2086,0
16,BRONX,Van,1680,0
17,BROOKLYN,Ambulance,468,1
18,BROOKLYN,Bicycle,216,1
19,BROOKLYN,Bus,2861,1
20,BROOKLYN,Fire Truck,214,1
21,BROOKLYN,Large com veh,2319,1
22,BROOKLYN,Livery Vehicle,1058,1
23,BROOKLYN,Motorcycle,733,1
24,BROOKLYN,Other,5632,1
25,BROOKLYN,Passenger Vehicle,88077,1
26,BROOKLYN,Pick-up Truck,1949,1
27,BROOKLYN,Scooter,43,1
28,BROOKLYN,Small Com Veh,2360,1
29,BROOKLYN,Sport car / Station Wagon,38680,1
30,BROOKLYN,Taxi,1959,1
31,BROOKLYN,Unknown,3213,1
32,BROOKLYN,Van,5059,1
33,MANHATTAN,Ambulance,523,3
34,MANHATTAN,Bicycle,154,3
35,MANHATTAN,Bus,4125,3
36,MANHATTAN,Fire Truck,180,3
37,MANHATTAN,Large com veh,2988,3
38,MANHATTAN,Livery Vehicle,3278,3
39,MANHATTAN,Motorcycle,840,3
40,MANHATTAN,Other,4935,3
41,MANHATTAN,Passenger Vehicle,54516,3
42,MANHATTAN,Pedicab,17,3
43,MANHATTAN,Pick-up Truck,3043,3
44,MANHATTAN,Scooter,51,3
45,MANHATTAN,Small Com Veh,3863,3
46,MANHATTAN,Sport car / Station Wagon,25188,3
47,MANHATTAN,Taxi,19411,3
48,MANHATTAN,Unknown,2125,3
49,MANHATTAN,Van,7150,3
50,QUEENS,Ambulance,240,4
51,QUEENS,Bicycle,71,4
52,QUEENS,Bus,1718,4
53,QUEENS,Fire Truck,113,4
54,QUEENS,Large com veh,1873,4
55,QUEENS,Livery Vehicle,847,4
56,QUEENS,Motorcycle,509,4
57,QUEENS,Other,2423,4
58,QUEENS,Passenger Vehicle,79692,4
59,QUEENS,Pedicab,2,4
60,QUEENS,Pick-up Truck,1477,4
61,QUEENS,Scooter,12,4
62,QUEENS,Small Com Veh,1616,4
63,QUEENS,Sport car / Station Wagon,33955,4
64,QUEENS,Taxi,1740,4
65,QUEENS,Unknown,3253,4
66,QUEENS,Van,3277,4
67,STATEN ISLAND,Ambulance,26,2
68,STATEN ISLAND,Bicycle,4,2
69,STATEN ISLAND,Bus,300,2
70,STATEN ISLAND,Fire Truck,21,2
71,STATEN ISLAND,Large com veh,80,2
72,STATEN ISLAND,Livery Vehicle,19,2
73,STATEN ISLAND,Motorcycle,58,2
74,STATEN ISLAND,Other,490,2
75,STATEN ISLAND,Passenger Vehicle,14788,2
76,STATEN ISLAND,Pick-up Truck,476,2
77,STATEN ISLAND,Scooter,1,2
78,STATEN ISLAND,Small Com Veh,101,2
79,STATEN ISLAND,Sport car / Station Wagon,6861,2
80,STATEN ISLAND,Taxi,12,2
81,STATEN ISLAND,Unknown,368,2
82,STATEN ISLAND,Van,401,2
