,BOROUGH,TIME,OccCount
0,1,00,1267
1,1,01,939
2,1,02,720
3,1,03,584
4,1,04,756
5,1,05,747
6,1,06,1117
7,1,07,1763
8,1,08,4354
9,1,09,3816
10,1,10,3238
11,1,11,3295
12,1,12,3549
13,1,13,3763
14,1,14,4343
15,1,15,3583
16,1,16,5083
17,1,17,4751
18,1,18,4112
19,1,19,3392
20,1,20,2745
21,1,21,2351
22,1,22,2031
23,1,23,1510
24,2,00,3124
25,2,01,2274
26,2,02,1775
27,2,03,1384
28,2,04,1612
29,2,05,1764
30,2,06,2753
31,2,07,3746
32,2,08,8743
33,2,09,9081
34,2,10,8461
35,2,11,8622
36,2,12,9208
37,2,13,9983
38,2,14,10846
39,2,15,9911
40,2,16,11919
41,2,17,11257
42,2,18,9798
43,2,19,7864
44,2,20,6686
45,2,21,5415
46,2,22,4807
47,2,23,3808
48,3,00,3621
49,3,01,2535
50,3,02,1901
51,3,03,1569
52,3,04,1531
53,3,05,1487
54,3,06,2080
55,3,07,2670
56,3,08,5979
57,3,09,7256
58,3,10,7592
59,3,11,7958
60,3,12,8117
61,3,13,8396
62,3,14,9333
63,3,15,7552
64,3,16,9443
65,3,17,8825
66,3,18,8128
67,3,19,6947
68,3,20,5983
69,3,21,4982
70,3,22,4526
71,3,23,3976
72,4,00,2439
73,4,01,1672
74,4,02,1285
75,4,03,1185
76,4,04,1507
77,4,05,1678
78,4,06,2499
79,4,07,3397
80,4,08,8638
81,4,09,7991
82,4,10,6909
83,4,11,7123
84,4,12,7293
85,4,13,8120
86,4,14,9460
87,4,15,8439
88,4,16,10203
89,4,17,9759
90,4,18,8674
91,4,19,6977
92,4,20,5739
93,4,21,4609
94,4,22,4141
95,4,23,3081
96,5,00,351
97,5,01,217
98,5,02,188
99,5,03,158
100,5,04,135
101,5,05,197
102,5,06,359
103,5,07,617
104,5,08,1521
105,5,09,1330
106,5,10,1213
107,5,11,1338
108,5,12,1493
109,5,13,1552
110,5,14,1894
111,5,15,1715
112,5,16,2063
113,5,17,1933
114,5,18,1601
115,5,19,1296
116,5,20,987
117,5,21,772
118,5,22,599
119,5,23,477
