,Category,Time,Count
0,1,00,2665
1,1,01,2049
2,1,02,1752
3,1,03,1440
4,1,04,1775
5,1,05,1713
6,1,06,2082
7,1,07,2995
8,1,08,5628
9,1,09,4841
10,1,10,4104
11,1,11,4463
12,1,12,5048
13,1,13,5638
14,1,14,6505
15,1,15,6322
16,1,16,7613
17,1,17,7267
18,1,18,6946
19,1,19,5772
20,1,20,5418
21,1,21,4360
22,1,22,4235
23,1,23,3587
24,2,00,8
25,2,01,11
26,2,02,8
27,2,03,7
28,2,04,20
29,2,05,12
30,2,06,8
31,2,07,7
32,2,08,6
33,2,09,8
34,2,10,5
35,2,11,8
36,2,12,16
37,2,13,4
38,2,14,11
39,2,15,9
40,2,16,14
41,2,17,19
42,2,18,25
43,2,19,18
44,2,20,12
45,2,21,12
46,2,22,9
47,2,23,14
48,3,00,37
49,3,01,30
50,3,02,24
51,3,03,24
52,3,04,30
53,3,05,30
54,3,06,30
55,3,07,46
56,3,08,72
57,3,09,72
58,3,10,68
59,3,11,59
60,3,12,93
61,3,13,91
62,3,14,130
63,3,15,121
64,3,16,84
65,3,17,111
66,3,18,136
67,3,19,100
68,3,20,84
69,3,21,62
70,3,22,61
71,3,23,48
72,4,00,1
73,4,01,3
74,4,02,1
75,4,03,3
76,4,04,5
77,4,05,2
78,4,06,2
79,4,07,3
80,4,08,2
81,4,09,0
82,4,10,2
83,4,11,3
84,4,12,2
85,4,13,1
86,4,14,2
87,4,15,2
88,4,16,3
89,4,17,6
90,4,18,8
91,4,19,3
92,4,20,3
93,4,21,1
94,4,22,2
95,4,23,4
96,5,00,284
97,5,01,156
98,5,02,121
99,5,03,84
100,5,04,63
101,5,05,88
102,5,06,150
103,5,07,305
104,5,08,494
105,5,09,534
106,5,10,441
107,5,11,578
108,5,12,611
109,5,13,728
110,5,14,855
111,5,15,761
112,5,16,995
113,5,17,1028
114,5,18,1101
115,5,19,1047
116,5,20,986
117,5,21,751
118,5,22,558
119,5,23,393
120,6,00,1
121,6,01,2
122,6,02,0
123,6,03,0
124,6,04,2
125,6,05,2
126,6,06,4
127,6,07,1
128,6,08,3
129,6,09,4
130,6,10,1
131,6,11,0
132,6,12,3
133,6,13,0
134,6,14,2
135,6,15,0
136,6,16,1
137,6,17,4
138,6,18,3
139,6,19,3
140,6,20,1
141,6,21,3
142,6,22,1
143,6,23,5
144,7,00,2344
145,7,01,1863
146,7,02,1607
147,7,03,1332
148,7,04,1682
149,7,05,1595
150,7,06,1902
151,7,07,2644
152,7,08,5062
153,7,09,4235
154,7,10,3595
155,7,11,3826
156,7,12,4344
157,7,13,4819
158,7,14,5520
159,7,15,5440
160,7,16,6534
161,7,17,6128
162,7,18,5709
163,7,19,4625
164,7,20,4348
165,7,21,3547
166,7,22,3616
167,7,23,3146
168,8,00,6
169,8,01,6
170,8,02,7
171,8,03,4
172,8,04,13
173,8,05,8
174,8,06,2
175,8,07,3
176,8,08,1
177,8,09,4
178,8,10,2
179,8,11,5
180,8,12,11
181,8,13,3
182,8,14,7
183,8,15,7
184,8,16,10
185,8,17,9
186,8,18,14
187,8,19,12
188,8,20,8
189,8,21,8
190,8,22,6
191,8,23,5
